Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Battery_Cell,
"C1, C10, C14, C2, C21, C22, C28, C29, C3, C30, C31, C7, C8, C9",0402,14,100nF,
C11,0402,1,22uF,
"C15, C16",0402,2,2.2nF,
"C17, C18, C19",0603,3,2.2uF,
"C23, C25, C26, C27, C4",0805,5,10uF,
"C5, C6",0402,2,0.1uF,
"D1, D2",0603,2,LED,
"D3, D4, D5",D_SOD-123,3,D_Schottky,
FB1,0603,1,600 @ 100 MHz,
J1,USB_C_Receptacle_CNCTech_C-ARA1-AK51X,1,USB_C_Receptacle_USB2.0_14P,
J2,TE_1-84953-8_1x18-1MP_P1.0mm_Horizontal,1,Conn_01x18,
J4,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,AudioJack3_Ground,
J5,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card,
J6,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07,
L1,0805,1,4.7uH,
R1,0201,1,1.2k,
"R10, R9",0201,2,470,
"R11, R4, R5",0201,3,10k,
"R12, R13",0201,2,5.1k,
R14,0201,1,22.1k,
R15,0201,1,47.5k,
R16,0402,1,750k,
R17,0402,1,130k,
"R2, R3",0201,2,1k,
R6,0201,1,75k,
"R7, R8",0201,2,4.7k,
"SW1, SW2",SW_E-Switch_EG1271_SPDT,2,SW_Push_SPDT,
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,ESP32-WROOM-32,1,ESP32-WROOM-32,
U4,UQFN-20_3x3mm_P0.4mm,1,MPR121QR2,
U5,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,
U6,QFN20_CP2102N_SIL,1,CP2102N-Axx-xQFN20,
U7,SOT-23-6,1,MT3608,
